feature,block,period,mean_ic,median_ic,ic_std,ic_t_stat,ic_hit_rate,n_days,avg_names
overnight_ret_1d_lag1,A_lagged_reversal,train,0.0235425588100625,0.0263579025387621,0.17589735314018767,6.367026194621567,0.583738400353513,2263,999.9929328621909
overnight_ret_1d_lag1,A_lagged_reversal,validation,0.005642680341714669,0.021562497316880588,0.27418676341737785,0.5662222130463334,0.535006605019815,757,999.9881109643329
overnight_ret_1d_lag1,A_lagged_reversal,development_test,-0.006568362260941171,-0.012201978483085189,0.23457325801627957,-0.7678696767420402,0.4800531914893617,752,999.9574468085107
intraday_ret_1d_lag1,A_lagged_reversal,train,-0.02120462509171431,-0.02553140508396541,0.13295303513342005,-7.587079227547245,0.41007512152010606,2263,999.9929328621909
intraday_ret_1d_lag1,A_lagged_reversal,validation,-0.0003030651638798069,-0.004332888353067406,0.18947220253809627,-0.04400869139454917,0.4848084544253633,757,999.9881109643329
intraday_ret_1d_lag1,A_lagged_reversal,development_test,-0.0024670606327021915,-0.002695894628817196,0.1801884412010931,-0.37545839152196375,0.49601063829787234,752,999.9574468085107
close_to_close_ret_1d_lag1,A_lagged_reversal,train,-0.013357224900878185,-0.01639203433878258,0.14709657007680627,-4.319723700367732,0.4445426425099426,2263,999.9929328621909
close_to_close_ret_1d_lag1,A_lagged_reversal,validation,0.0001199833864388864,-0.0010545445414525962,0.2252332470372335,0.014656712106799495,0.4966974900924703,757,999.9881109643329
close_to_close_ret_1d_lag1,A_lagged_reversal,development_test,-0.007299544760350327,-0.004407629657496921,0.20171079415278512,-0.9923744106470384,0.49069148936170215,752,999.9574468085107
ret_3d_lag1,A_lagged_reversal,train,-0.018426721820626112,-0.01944310498168874,0.147467292039554,-5.942903448397267,0.43412908930150307,2262,999.9929328621909
ret_3d_lag1,A_lagged_reversal,validation,-0.013048075010377953,-0.007752780474553627,0.2335369017452915,-1.5372300664498124,0.4821664464993395,757,999.9881109643329
ret_3d_lag1,A_lagged_reversal,development_test,-0.003907549278268651,-0.00648054028318462,0.2069411327651479,-0.5178053841284067,0.48936170212765956,752,999.9574468085107
ret_5d_lag1,A_lagged_reversal,train,-0.013955914438053817,-0.01590174535035677,0.14547198870896175,-4.561726078979177,0.44891640866873067,2261,999.9929328621909
ret_5d_lag1,A_lagged_reversal,validation,-0.013353381170504818,-0.009720622872627531,0.23714699439926276,-1.5492502005209703,0.4795244385733157,757,999.9881109643329
ret_5d_lag1,A_lagged_reversal,development_test,-0.0113161490354362,-0.014145717350602171,0.20576908348674294,-1.5080906787167612,0.4654255319148936,752,999.9574468085107
resid_intraday_ret_1d_lag1,A_lagged_reversal,train,-0.021211066972267628,-0.02553140508396541,0.13295248800934573,-7.589415383683738,0.41007512152010606,2263,999.9929328621909
resid_intraday_ret_1d_lag1,A_lagged_reversal,validation,-0.00030193763772297594,-0.004332888353067406,0.1894708123321911,-0.043845282797015876,0.4848084544253633,757,999.9881109643329
resid_intraday_ret_1d_lag1,A_lagged_reversal,development_test,-0.0024486396419930766,-0.002695894628817196,0.18023040089736653,-0.37256816924939745,0.49601063829787234,752,999.9574468085107
resid_close_to_close_ret_1d_lag1,A_lagged_reversal,train,-0.013365106794586355,-0.01639203433878258,0.14709534442981342,-4.322308717725228,0.4445426425099426,2263,999.9929328621909
resid_close_to_close_ret_1d_lag1,A_lagged_reversal,validation,0.000124388550313895,-0.0010545445414525962,0.2252350816333812,0.015194706330731146,0.4966974900924703,757,999.9881109643329
resid_close_to_close_ret_1d_lag1,A_lagged_reversal,development_test,-0.007267913204962161,-0.004407629657496921,0.20172169244287558,-0.9880207130033744,0.49069148936170215,752,999.9574468085107
volume_ratio_20d_lag1,B_lagged_liquidity_pressure,train,0.0070985751530219824,0.005913811343754742,0.053946510062129166,6.233317613682378,0.5499108734402852,2244,999.9929328621909
volume_ratio_20d_lag1,B_lagged_liquidity_pressure,validation,-0.0003732446587032854,-0.0036054800834873298,0.07395969915224242,-0.1388501666537226,0.4715984147952444,757,999.9881109643329
volume_ratio_20d_lag1,B_lagged_liquidity_pressure,development_test,0.0054116638684784625,0.004979862053751645,0.07399797033522025,2.005487346622535,0.5332446808510638,752,999.9574468085107
dollar_volume_ratio_20d_lag1,B_lagged_liquidity_pressure,train,0.005708601947494503,0.004639499495251975,0.054024942720063515,5.005493163335885,0.5311942959001783,2244,999.9929328621909
dollar_volume_ratio_20d_lag1,B_lagged_liquidity_pressure,validation,-0.002743101804618689,-0.004571427151999345,0.0834582986797601,-0.9043162571610636,0.47688243064729197,757,999.9881109643329
dollar_volume_ratio_20d_lag1,B_lagged_liquidity_pressure,development_test,0.003002607645746107,0.005913614237350395,0.07445219195349609,1.1059360580070623,0.5319148936170213,752,999.9574468085107
high_low_range_lag1,B_lagged_liquidity_pressure,train,0.014478179634055729,0.014826444285371491,0.19498029858812094,3.5323644599981887,0.5307114449845338,2263,999.9929328621909
high_low_range_lag1,B_lagged_liquidity_pressure,validation,0.02454619903864927,0.03860564998343076,0.2383459335949694,2.8335080079820787,0.5587846763540291,757,999.9881109643329
high_low_range_lag1,B_lagged_liquidity_pressure,development_test,-0.012121979605400292,-0.008543261623520735,0.2529419605777162,-1.314200381113856,0.4853723404255319,752,999.9574468085107
realized_vol_20d_lag1,B_lagged_liquidity_pressure,train,0.017497104242771018,0.0226844085368364,0.2429918294302552,3.4110331081765946,0.5401069518716578,2244,999.9929328621909
realized_vol_20d_lag1,B_lagged_liquidity_pressure,validation,0.020866984028174797,0.04160523222732595,0.32269526344834354,1.7791601088509414,0.5455746367239102,757,999.9881109643329
realized_vol_20d_lag1,B_lagged_liquidity_pressure,development_test,-0.01920138757025499,-0.02154994067387355,0.3132987962824937,-1.6806713921927394,0.46808510638297873,752,999.9574468085107
abs_intraday_shock_lag1,B_lagged_liquidity_pressure,train,0.008211360680737351,0.006976366478179059,0.12224766087433711,3.195338320676179,0.5276182059213433,2263,999.9929328621909
abs_intraday_shock_lag1,B_lagged_liquidity_pressure,validation,0.015357610517310244,0.018980710498549856,0.14648437697382538,2.884564675221742,0.5535006605019815,757,999.9881109643329
abs_intraday_shock_lag1,B_lagged_liquidity_pressure,development_test,-0.005444708045316817,-0.008666316469735135,0.1538394554014488,-0.9705452391601557,0.4720744680851064,752,999.9574468085107
log_adv20_dollar_lag1,B_lagged_liquidity_pressure,train,0.011846300423778789,0.012056979011990047,0.13930707759187363,4.028292399153955,0.5418894830659536,2244,999.9929328621909
log_adv20_dollar_lag1,B_lagged_liquidity_pressure,validation,0.007202311803943506,0.011022107006815903,0.14996974583928607,1.3213449319653947,0.5310435931307794,757,999.9881109643329
log_adv20_dollar_lag1,B_lagged_liquidity_pressure,development_test,0.00204096016196407,0.006792279867395076,0.13550916068076324,0.41302352854409036,0.523936170212766,752,999.9574468085107
dsi_pit,C_borrow_short_pressure_pit,train,0.004493553853349455,0.0041875364185952075,0.09521654098240356,2.2450180001892996,0.5236411842686699,2263,999.9929328621909
dsi_pit,C_borrow_short_pressure_pit,validation,0.01020115760630016,0.01333007948467237,0.12925160498642604,2.1715080940402256,0.5336856010568032,757,999.9881109643329
dsi_pit,C_borrow_short_pressure_pit,development_test,-0.013444249039046506,-0.01611146814046685,0.18542959882029048,-1.9882290283721622,0.46808510638297873,752,999.9574468085107
dtcn_pit,C_borrow_short_pressure_pit,train,-0.00974497957369867,-0.01187511215340954,0.09216376475591785,-5.029942302473077,0.4414494034467521,2263,999.9929328621909
dtcn_pit,C_borrow_short_pressure_pit,validation,-0.0021109058350252392,-0.0009199231139397953,0.06729120214785675,-0.8630948260054612,0.4940554821664465,757,999.9881109643329
dtcn_pit,C_borrow_short_pressure_pit,development_test,-0.005418146191175712,-0.00834417848481334,0.08452369473091251,-1.7578473813494713,0.4627659574468085,752,999.9574468085107
ddtcn_pit,C_borrow_short_pressure_pit,train,-0.004154466751135176,-0.003718803464358593,0.051907759631417937,-3.807371719204913,0.4675209898365002,2263,999.9929328621909
ddtcn_pit,C_borrow_short_pressure_pit,validation,-0.0022368074929091765,-0.0034030630171177747,0.05341804021998569,-1.1520958118868396,0.47424042272126815,757,999.9881109643329
ddtcn_pit,C_borrow_short_pressure_pit,development_test,-0.005445619841512727,-0.0067493043541944665,0.05695379807712271,-2.6220052027397993,0.4587765957446808,752,999.9574468085107
htb_score_pct_pit,C_borrow_short_pressure_pit,train,0.0011443579744335685,-6.943224169376904e-05,0.08942295460061073,0.6087726909916238,0.49977905435262926,2263,999.9929328621909
htb_score_pct_pit,C_borrow_short_pressure_pit,validation,0.007780087750038188,0.005633652309532975,0.1085768470148951,1.9714928626687254,0.52443857331572,757,999.9881109643329
htb_score_pct_pit,C_borrow_short_pressure_pit,development_test,-0.012055438158594875,-0.01313686992685121,0.16150084807410295,-2.046996559024857,0.47606382978723405,752,999.9574468085107
borrow_bps_pa,C_borrow_short_pressure_pit,train,0.0018941504042553061,0.0019552062161775504,0.06089844109699753,1.4796212586304829,0.5139195757843571,2263,999.9929328621909
borrow_bps_pa,C_borrow_short_pressure_pit,validation,0.0041550645308357555,0.006605210052735647,0.06894254950890123,1.6582055833768254,0.5402906208718626,757,999.9881109643329
borrow_bps_pa,C_borrow_short_pressure_pit,development_test,-0.01016749592961778,-0.013252596777529973,0.11914320155188218,-2.3402036989610124,0.4587765957446808,752,999.9574468085107
log_market_cap_lag1,D_stable_controls_lagged,train,0.004468705641169771,0.006955832285244083,0.16199361422356448,1.312278852158872,0.5196641626159965,2263,999.9929328621909
log_market_cap_lag1,D_stable_controls_lagged,validation,-0.0010272483588239622,0.01158537322562938,0.19662655589629752,-0.14374118592308116,0.5191545574636723,757,999.9881109643329
log_market_cap_lag1,D_stable_controls_lagged,development_test,0.006583494462130443,0.015436677911830156,0.18246991167672877,0.9894050735549413,0.5398936170212766,752,999.9574468085107
adv20_dollar,D_stable_controls_lagged,train,0.011971908472193133,0.01292251851682933,0.13898671736489154,4.080388514757734,0.5423351158645277,2244,999.9929328621909
adv20_dollar,D_stable_controls_lagged,validation,0.007588328770743506,0.012899445583918692,0.1498412803110989,1.3933576403624666,0.5336856010568032,757,999.9881109643329
adv20_dollar,D_stable_controls_lagged,development_test,0.002093412859525302,0.006792279867395076,0.13552637308726473,0.42358443376042665,0.5226063829787234,752,999.9574468085107
